Type,capacity,formation,imp,k,dcrfu25,dcr25,calendar60-30d,calendar60-60d,calendar60-120d,volume-80d,cycle45-300,cycle45-600,cycle45-900
Mean,1984.88567049,1373.15835142,7.71555563462,0.0582093678667,1.0900980084,0.0228640341778,0.932424727911,0.907978766444,0.695306063222,0.164806532778,0.978844001022,0.9447257784,0.7925762414
Range,1936.75~2026.127083,1330.589474~1404.374419,6.443875~8.830125,0.042389667~0.10855098,0.494256996~1.52365451,0.020294382~0.031758639,0.869057653~0.961336659,0.815472609~0.946879304,0.0~0.919572375,0.0307096~0.375521765,0.945354233~0.991176901,0.817378489~0.96859849,0.0~0.965045061
61422501,1975.5,1404.374419,7.189608696,0.044894957,1.086345659,0.02106476,0.954247393,0.934332776,0.90102768,0.142963626,0.98527064,0.958742143,0.934836648
61422502,1977.555814,1342.469767,7.915333333,0.043941021,1.17937112,0.021615346,0.94774642,0.930656119,0.903278214,0.060822898,0.981812,0.953400081,0.924011077
61422503,1976.937143,1396.171429,7.847957447,0.042991851,1.201917876,0.020916736,0.956429873,0.940746212,0.889056882,0.133870006,0.984802132,0.958205862,0.936494622
61422504,1982.704878,1347.797619,7.373914894,0.049315,0.939106122,0.024086529,0.942070571,0.917861426,0.873711421,0.180828861,0.981260224,0.95157155,0.924021266
61422505,1984.761905,1386.12381,7.454765957,0.04525566,1.115058061,0.023316765,0.956662658,0.940095843,0.902032781,0.084376863,0.978032894,0.951054446,0.931835525
61422506,1977.051852,1393.793023,7.908041667,0.045930375,1.177471073,0.022175228,0.952104914,0.933717312,0.90419282,0.111210495,0.991176901,0.964997412,0.938396029
61422507,1971.991489,1385.204651,7.649708333,0.047397604,1.16063108,0.022687373,0.946038478,0.920455759,0.888701457,0.083482409,0.987634175,0.96209918,0.93909584
61422508,1988.819149,1392.930233,7.872208333,0.044796229,1.217695743,0.02267767,0.945370917,0.922479723,0.881094682,0.136553369,0.980523341,0.950137394,0.927528359
61422509,1996.057447,1403.316279,7.7045,0.046463521,1.311675162,0.022169395,0.952846615,0.934710598,0.895750992,0.237179487,0.98271182,0.959193757,0.946662097
61422510,2003.24,1401.613953,7.963041667,0.049143396,1.342172277,0.020294382,0.951500937,0.9334182,0.874737764,0.24090638,0.981035172,0.956509674,0.937839657
61422511,2000.851064,1369.881395,8.292208333,0.054876646,1.239189967,0.023731625,0.945941738,0.922098209,0.893169469,0.094812165,0.989253144,0.964219103,0.0
61422512,2006.375,1341.035417,7.586583333,0.051211792,1.245342883,0.024519222,0.945914686,0.922885663,0.902809533,0.086016696,0.98891845,0.961215906,0.0
61422513,2002.115385,1388.220833,8.487208333,0.046340521,1.13430695,0.023874194,0.952974411,0.933491791,0.900315111,0.110614192,0.979844786,0.949216768,0.0
61422514,1977.208333,1382.089583,8.688041667,0.050375375,1.356899958,0.028191956,0.957024782,0.942231026,0.910454232,0.057394156,0.986040691,0.95933184,0.0
61422515,1982.327083,1368.74375,8.615125,0.042389667,1.36354661,0.031758639,0.958078017,0.946879304,0.919572375,0.072599881,0.985407476,0.948563084,0.0
61422516,1982.617021,1345.869565,8.583702128,0.048644809,1.272322801,0.021502499,0.956561466,0.937678315,0.904411869,0.093768634,0.982155852,0.953286717,0.928112522
61422517,1952.212766,1360.594286,8.830125,0.042862271,1.358871307,0.021074704,0.961336659,0.943150699,0.91080778,0.076624925,0.975700817,0.947674536,0.920433568
61422518,1979.95625,1338.497917,7.570333333,0.048302125,1.12493793,0.022001525,0.944379717,0.926815069,0.892062032,0.104502087,0.985545509,0.960331101,0.935929015
61422521,2003.666667,1347.172917,7.791791667,0.045637125,1.140399391,0.021919424,0.93335784,0.922552117,0.861791892,0.331842576,0.984678356,0.963550699,0.963918442
61422522,1972.0,1368.762222,8.073875,0.043093458,1.152413282,0.02106476,0.943544082,0.927620668,0.891091939,0.184257603,0.985419595,0.965801048,0.947444594
61422523,1991.878723,1377.110638,8.016042553,0.051867574,1.062076683,0.021615346,0.949101243,0.931587417,0.89019603,0.159511032,0.983093649,0.959039277,0.941806056
61422524,1977.534043,1340.645833,8.206791667,0.049088854,1.128644708,0.020916736,0.93873865,0.920988724,0.859187897,0.307543232,0.988187489,0.96859849,0.947034161
61422526,1989.70625,1361.089583,7.736791667,0.048494438,1.150834971,0.023316765,0.948588993,0.924004205,0.884076557,0.119260584,0.978153622,0.953670961,0.929211535
61422528,2005.708333,1378.7125,7.202833333,0.069231854,0.787390614,0.022687373,0.906933311,0.865853713,0.786687605,0.313506261,0.981602383,0.913178612,0.851273546
61422530,1981.16,1344.293333,7.439291667,0.070821333,0.796942826,0.022169395,0.932237949,0.900614704,0.835396024,0.28771616,0.978234557,0.941094815,0.886173077
61422531,1995.402083,1397.365957,7.099708333,0.069707083,0.851671527,0.020294382,0.930426998,0.887949929,0.792350987,0.347495528,0.977899082,0.910011666,0.837676796
61422534,2026.127083,1343.666667,7.031375,0.066807042,0.804063514,0.021615346,0.914863673,0.876868201,0.800261387,0.375521765,0.984262922,0.913415758,0.846960083
61422536,1999.462222,1383.964583,6.500297872,0.084240532,0.716762794,0.024086529,0.916322362,0.866869984,0.776647671,0.37149672,0.974621058,0.905962898,0.844725113
61422542,1988.491489,1350.01875,6.443875,0.090724125,0.55268964,0.020294382,0.921205157,0.884370069,0.80643664,0.364490161,0.972003756,0.940468025,0.881201798
61422543,2004.526087,1352.535417,6.619916667,0.083421063,0.494256996,0.02106476,0.899393307,0.853265278,0.0,0.335420394,0.962360809,0.914016085,0.831739962
61422544,2012.702128,1350.270213,7.047319149,0.081583511,0.554841794,0.021615346,0.869057653,0.815472609,0.0,0.319022063,0.945354233,0.817378489,0.0
61422546,1955.404348,1370.589583,7.017625,0.074589375,0.588722383,0.024086529,0.892513846,0.851965308,0.756412513,0.317978533,0.964582683,0.928820822,0.844619714
61422550,1987.511628,1393.369565,7.536583333,0.066201574,1.148154952,0.02267767,0.897315865,0.866667423,0.0,0.167412045,0.973540099,0.940139802,0.901937934
61422551,1983.9,1397.897826,7.701791667,0.072357896,1.135355536,0.022169395,0.903490746,0.869434859,0.0,0.153398927,0.974065268,0.934680807,0.876406575
61422552,1975.512245,1394.367347,8.27322449,0.054241367,1.184246757,0.020294382,0.935665681,0.910624289,0.0,0.031976744,0.984224977,0.959139355,0.933767415
61422553,1991.212766,1397.638298,8.434291667,0.05750075,1.239530712,0.023731625,0.927980896,0.899610388,0.0,0.048971377,0.979646626,0.948158969,0.918768225
61422554,1983.34,1395.639583,7.426166667,0.062382745,1.180741701,0.024519222,0.936420244,0.916098941,0.0,0.073196184,0.982309826,0.954477706,0.965045061
61422555,1995.088889,1392.095833,7.759916667,0.067731688,1.241459343,0.023874194,0.930849885,0.903760388,0.0,0.060375671,0.98032499,0.951607656,0.921063319
61422556,1991.782609,1381.29375,7.903632653,0.057922918,1.253648271,0.028191956,0.928867058,0.912120164,0.0,0.0307096,0.969724914,0.94102988,0.930192628
61422557,1984.672917,1381.663265,7.887306122,0.059591367,1.214038962,0.031758639,0.872339987,0.851719292,0.84433361,0.066189624,0.975501259,0.95185016,0.934452937
61422558,1951.958333,1369.37551,8.118938776,0.062285796,1.52365451,0.021502499,0.883692191,0.875889,0.850382487,0.16726297,0.964525162,0.940927995,0.924021393
61422559,1985.23913,1393.629167,7.528875,0.0589935,1.14162191,0.021074704,0.926955024,0.90805819,0.877610991,0.059630292,0.972185332,0.946721921,0.921430171
61422560,1936.75,1377.416667,7.574857143,0.054719837,1.087953169,0.022001525,0.936613505,0.916786681,0.887535214,0.062388193,0.975316934,0.947158425,0.922921253
61422561,1961.331111,1372.223404,8.242816327,0.10855098,1.272997971,0.02106476,0.935251888,0.915163055,0.888450095,0.046511628,0.975862485,0.94594199,0.918146702
61422562,1969.503509,1330.589474,7.051661017,0.062500949,0.822432882,0.021615346,0.92015447,0.89942485,0.852736212,0.204680978,0.973171956,0.946067163,0.918796148
